source_type,source_url,source_capture_utc,jurisdiction,permit_or_record_id,record_status,record_date,record_date_iso,project_address,project_city,project_state,description_raw,contractor_name_raw,contractor_name_normalized,dedupe_key,lift_probability_score,score_hits,recency_ok
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1902131109,issued,12/31/19,2019-12-31,2075 S BUCKNER BLVD,Dallas,TX,NEW CONSTRUCTION STORE WITH FUEL SALES.,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","schaffer construction, p.o. box 2431, frisco, tx 75034 (972) 824-5583",87acccb2a90a14e416b566ec7a85b0a3fff28663,6,"new_construction,issued_or_awarded_status",False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311066,issued,12/31/19,2019-12-31,2600 ARROYO AVE,Dallas,TX,REPLACE MAIN EXTERIOR DISCONNECT,"DALLAS ELECTRIC COMPANY P O BOX 210368, DALLAS, TX 75211 (214) 339-9306","dallas electric p o box 210368, dallas, tx 75211 (214) 339-9306",2e9700e2f5ee3624a4f281875bb980904d1b34f5,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311038,issued,12/31/19,2019-12-31,2223 SINGLETON BLVD Ste:116,Dallas,TX,ERECT ATTACHED SIGN,"BARNETT SIGNS INC \4250 ACTION DR, MESQUITE, TX 75150 /9726818800","barnett signs \4250 action dr, mesquite, tx 75150 /9726818800",dea453868595f13c3af5cd49366d283bb3c0f9b0,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311075,issued,12/31/19,2019-12-31,7040 HILLWOOD LN,Dallas,TX,INSTALL FENCE,", , () -",", , () -",860386fca88899ffe8c238ced3443e7d39d6509a,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912243012,issued,12/31/19,2019-12-31,4605 CEDAR SPRINGS RD,Dallas,TX,INSTALL WATER HEATER,"BENJAMIN FRANKLIN PLUMBING 1444 N Central Expressway, MCKINNEY, TX 75070 (972) 562-1776","benjamin franklin plumbing 1444 n central expressway, mckinney, tx 75070 (972) 562-1776",05013a94d37a1736491af243a0925615d9142e95,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311055,issued,12/31/19,2019-12-31,10110 BETTY JANE LN,Dallas,TX,INSTALL FENCE,"NORTH TEXAS FUTURE FENCE 4557 STATEN ISLAND CT, PLANO, TX 75024 (972) 985-4261","north texas future fence 4557 staten island ct, plano, tx 75024 (972) 985-4261",98c1948329375083df859474646ab0e76bb9d43c,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311035,issued,12/31/19,2019-12-31,6211 LAKESHORE DR,Dallas,TX,REPAIR FIRE DAMAGE NO STRUCTURAL CHANGES ALLOWED UNDER THIS PERMIT,"GREGG CONSTRUCTION COMPANY 1236 Southridge Court, Ste 101, HURST, TX 76053 (817) 268-0000","gregg construction 1236 southridge court, ste 101, hurst, tx 76053 (817) 268-0000",fa01465ea68c033b01991f05386170cf9591ac85,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1902131108,issued,12/31/19,2019-12-31,2075 S BUCKNER BLVD,Dallas,TX,NEW CONSTRUCTION STORE WITH FUEL SALES.,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","schaffer construction, p.o. box 2431, frisco, tx 75034 (972) 824-5583",30ec737775e6aa517e5987fddfbe9ea89d13d80f,6,"new_construction,issued_or_awarded_status",False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1908081176,issued,12/31/19,2019-12-31,10511 OLYMPIC DR,Dallas,TX,NEW CONSTRUCTION - COMMERCIAL BUILDING,"ALL AMERICAN ROOFING REMODELING 111 PARK HURST LN, ALLEN, TX 75013 (214) 686-9075","all american roofing remodeling 111 park hurst ln, allen, tx 75013 (214) 686-9075",e3680c62d8539cd913b3b73542d9d8e39e598b2e,6,"new_construction,issued_or_awarded_status",False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912312016,issued,12/31/19,2019-12-31,3569 AINSWORTH DR,Dallas,TX,INSTALL LAWN SPRINKLER,"T.D.S. IRRIGATION 9405 INVERNESS DR, ROWLETT, TX 75089 (214) 530-1158","t.d.s. irrigation 9405 inverness dr, rowlett, tx 75089 (214) 530-1158",82438a25d0a6bb809ef1041bbb8e1fd8555e7202,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912312018,issued,12/31/19,2019-12-31,2618 ELECTRONIC LN,Dallas,TX,RUN GAS LINES ON ROOF FOR RTU'S DAMAGED IN TORNADO,"DYNA TEN CORPORATION 4375 DIPLOMACY , FORT WORTH, TX 76155 (817) 616-2200","dyna tenoration 4375 diplomacy , fort worth, tx 76155 (817) 616-2200",65f4189d082403b6c1befbe6dfae19791dfb126e,4,"hvac_rooftop,issued_or_awarded_status",False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303080,issued,12/31/19,2019-12-31,4639 IRVING BLVD Ste:302,Dallas,TX,ELECTRICAL REPAIRS,"J C H ENTERPRISES 4601Taos Dr, Haltom City, TX 76180 (817) 526-2733","j c h enterprises 4601taos dr, haltom city, tx 76180 (817) 526-2733",d709d7cdc6ca6749d659be2833687047a547abba,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311056,issued,12/31/19,2019-12-31,2323 N HOUSTON ST,Dallas,TX,INTERIOR REMODEL ONLY,"HOME FRONT RENOVATIONS 909 S SYLVANIA, FORT WORTH, TX 76111 (817) 697-5021","home front renovations 909 s sylvania, fort worth, tx 76111 (817) 697-5021",df894f05996ac60648eaaa1f70a1b5c964face5d,4,"indoor_or_tight_access,issued_or_awarded_status",False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912312021,issued,12/31/19,2019-12-31,2540 WALNUT HILL LN,Dallas,TX,REPLACE GAS LINE ON ROOF TOP UNITS,"DYNA TEN CORPORATION 4375 DIPLOMACY , FORT WORTH, TX 76155 (817) 616-2200","dyna tenoration 4375 diplomacy , fort worth, tx 76155 (817) 616-2200",999c3d4dc24b5dba8ced370e5dda28a23ecf4ca9,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1905291080,issued,12/31/19,2019-12-31,1520 ROUND TABLE DR,Dallas,TX,INSTALL DIESEL GAS BACK-UP GENERATOR,"AZTECA ENTERPRISES, INC. 2518 CHALK HILL RD, DALLAS, TX 75212 (214) 905-0612","azteca enterprises,. 2518 chalk hill rd, dallas, tx 75212 (214) 905-0612",27e5af68d3c3b450736a7b6add637f5576260545,4,"generator_or_ups,issued_or_awarded_status",False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313046,issued,12/31/19,2019-12-31,9102 SUGARBERRY RD,Dallas,TX,INSTALL NEW HVAC,"SUMMER DREAMS A/C REPAIR P.O. Box 2832, Red Oak, TX 75154 (972) 951-2460","summer dreams a/c repair p.o. box 2832, red oak, tx 75154 (972) 951-2460",b34cb18f819fde5f8392b25f08ef7bc538ad136a,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912121022,issued,12/31/19,2019-12-31,4143 MAPLE AVE Ste:130,Dallas,TX,ACCES CONTROL,"PLATINUM SAFETY SECURITY 1502 S I-35 STE 230, LANCASTER, TX 75146 (469) 331-0328","platinum safety security 1502 s i-35 ste 230, lancaster, tx 75146 (469) 331-0328",96a43cd74be45d774708051c39b9109e8a7af726,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311062,issued,12/31/19,2019-12-31,25 WIMBERLEY CT,Dallas,TX,INSTALL FENCE,"NORTH TEXAS FUTURE FENCE 4557 STATEN ISLAND CT, PLANO, TX 75024 (972) 985-4261","north texas future fence 4557 staten island ct, plano, tx 75024 (972) 985-4261",48a8d21f2cc4d6f60092ade43f1a51308fcc95a4,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303045,issued,12/31/19,2019-12-31,9653 CHURCH RD,Dallas,TX,PERMANENT ELECTRICAL SERVICE,"B+T GROUP HOLDINGS INC 1025 S. Belt Line Road, Suite 400, Coppell, TX 75019 (469) 480-3578","b+t group holdings 1025 s. belt line road, suite 400, coppell, tx 75019 (469) 480-3578",997aca59063f1610f3a24aa3f732220ce715b07a,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311006,issued,12/31/19,2019-12-31,610 N BUCKNER BLVD,Dallas,TX,COMPLETE THE SCOPE OF WORK FROM PERMIT # 1906171021 REPIPE SEWER & GAS TEST,"HAKUNA MATATA PLUMBING SERVICES 1337 BROOKFIELD LN, Mansfield, TX 76063 (817) 566-6001","hakuna matata plumbing services 1337 brookfield ln, mansfield, tx 76063 (817) 566-6001",9aa548908eb5455ca36e652c528cfda8c2b23baa,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313005,issued,12/31/19,2019-12-31,4652 MALDEN LN,Dallas,TX,REMODEL EXISTING PLUMBING,"PRO-STAR PLUMBING 102 Independence Tr, FORNEY, TX 75126 (214) 364-8883","pro-star plumbing 102 independence tr, forney, tx 75126 (214) 364-8883",ba670cd6e3e47d0e28e236f21b6a37fe59c079a4,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313039,issued,12/31/19,2019-12-31,10116 BRENTRIDGE CT,Dallas,TX,INSTALL WATER HEATER,"CLASSIC PLUMBING INC 1301 10TH STREET, PLANO, TX 75024 (972) 423-2552","classic plumbing 1301 10th street, plano, tx 75024 (972) 423-2552",b095882142fa226956b920880e80c204b41e05be,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313049,issued,12/31/19,2019-12-31,7638 LA MANGA DR,Dallas,TX,UPGRADE EXISTING ELECTRICAL SERVICE,"5TH GENERATION ELECTRIC LLC 1524 LAREDO LN, MESQUITE, TX 75150 (214) 728-1977","5th generation electric 1524 laredo ln, mesquite, tx 75150 (214) 728-1977",971c82a4daa54bc5ec017e674800912b3e20b7b9,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912312007,issued,12/31/19,2019-12-31,5414 CEDAR SPRINGS RD,Dallas,TX,INSTALL NEW HVAC,"OWEN SERVICES LLC 1014 MANITOBA, GARLAND, TX 75040 (214) 616-3301","owen services 1014 manitoba, garland, tx 75040 (214) 616-3301",58f1cafc3b39f1751aa63735a8bee43e9a694568,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303002,issued,12/31/19,2019-12-31,11428 N CENTRAL EXPY,Dallas,TX,ELECTRICAL REPAIRS,"TRADEMARK ELECTRIC CO LTD PO Box 821448, North Richland Hills, TX 76182-1448 (817) 247-3441","trademark electric co po box 821448, north richland hills, tx 76182-1448 (817) 247-3441",7b5a00553db6ccfb4af33b7c7883333af472d1df,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303064,issued,12/31/19,2019-12-31,8527 FAIR OAKS XING,Dallas,TX,PERMANENT ELECTRICAL SERVICE,"B+T GROUP HOLDINGS INC 1025 S. Belt Line Road, Suite 400, Coppell, TX 75019 (469) 480-3578","b+t group holdings 1025 s. belt line road, suite 400, coppell, tx 75019 (469) 480-3578",536cb30465fa672cee9b7e2be0da5891da16208c,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303083,issued,12/31/19,2019-12-31,1008 WESTMOUNT AVE,Dallas,TX,PERMANENT ELECTRICAL SERVICE,"B+T GROUP HOLDINGS INC 1025 S. Belt Line Road, Suite 400, Coppell, TX 75019 (469) 480-3578","b+t group holdings 1025 s. belt line road, suite 400, coppell, tx 75019 (469) 480-3578",57f48f84a63b764863c7a9eb8b8b2d0cc3dd60fd,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313030,issued,12/31/19,2019-12-31,1631 SYLVAN AVE,Dallas,TX,INSTALL WATER HEATER,"BILL CODY SONS PLUMBING PO BOX 210433, DALLAS, TX 75211 (214) 339-3401","bill cody sons plumbing po box 210433, dallas, tx 75211 (214) 339-3401",dc6c2c54a42583bc57c737d8e046bb29f3c36ff9,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303075,issued,12/31/19,2019-12-31,12426 HALLUM ST,Dallas,TX,PERMANENT ELECTRICAL SERVICE,"B+T GROUP HOLDINGS INC 1025 S. Belt Line Road, Suite 400, Coppell, TX 75019 (469) 480-3578","b+t group holdings 1025 s. belt line road, suite 400, coppell, tx 75019 (469) 480-3578",a9377bbde58ce13cc69f5d32fd2c07d84186fdea,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313047,issued,12/31/19,2019-12-31,7955 BRIARIDGE RD,Dallas,TX,nan,"HERNDON MCFARLAND 4181 BILLY MITCHELL , ADDISON, TX 75001-1541 (972) 960-9996","herndon mcfarland 4181 billy mitchell , addison, tx 75001-1541 (972) 960-9996",13a2447dcc2b0199930fb488870b930bf3dbb616,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313002,issued,12/31/19,2019-12-31,8757 ALDWICK DR,Dallas,TX,REPLACE OR MODIFY EXISTING HVAC,"BACON PLUMBING HEATING AND A/C INC 295 RANCH TRAIL , ROCKWALL, TX 75032 (972) 722-4006","bacon plumbing heating and a/c 295 ranch trail , rockwall, tx 75032 (972) 722-4006",8127708e049f5d156447070e7fd39b242b9d9b6a,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313003,issued,12/31/19,2019-12-31,7810 KILBRIDE LN,Dallas,TX,PERMANENT ELECTRICAL SERVICE,"MILESTONE ELECTRIC 2360 Crist Rd, Ste B900, Garland, TX 75040 (972) 526-5917","milestone electric 2360 crist rd, ste b900, garland, tx 75040 (972) 526-5917",213ea847e6973a0325db51fa360f96752d90de34,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303043,issued,12/31/19,2019-12-31,8265 SKILLMAN ST,Dallas,TX,PERMANENT ELECTRICAL SERVICE,"B+T GROUP HOLDINGS INC 1025 S. Belt Line Road, Suite 400, Coppell, TX 75019 (469) 480-3578","b+t group holdings 1025 s. belt line road, suite 400, coppell, tx 75019 (469) 480-3578",13af717fa920f954cf9230f369197f145f90edc9,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912312012,issued,12/31/19,2019-12-31,5414 CEDAR SPRINGS RD,Dallas,TX,INSTALL NEW HVAC,"OWEN SERVICES LLC 1014 MANITOBA, GARLAND, TX 75040 (214) 616-3301","owen services 1014 manitoba, garland, tx 75040 (214) 616-3301",f87f3d81a1d15af4d31c8b252a9a80de1720015b,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311013,issued,12/31/19,2019-12-31,8619 GRUMMAN DR,Dallas,TX,INSTALL ROOF MOUNTED SOLAR PANELS,"INFINITY ENERGY INC 2363 MERRITT DR, STE 200, GARLAND, TX 75041 (916) 678-4732","infinity energy 2363 merritt dr, ste 200, garland, tx 75041 (916) 678-4732",23d3ab068d2b174fc4b01b9f4278f28dbd54a60c,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311048,issued,12/31/19,2019-12-31,4539 SAN GABRIEL DR,Dallas,TX,INSTALL SWIMMING POOL,"LEISURE LIVING POOLS 7820 W. MAIN ST, FRISCO, TX 75033 (972) 335-2777","leisure living pools 7820 w. main st, frisco, tx 75033 (972) 335-2777",6450e67b1c48b9cb3badbbdb7910df0a5292b03f,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912303019,issued,12/31/19,2019-12-31,10851 STEPPINGTON DR,Dallas,TX,PERMANENT ELECTRICAL SERVICE,"B+T GROUP HOLDINGS INC 1025 S. Belt Line Road, Suite 400, Coppell, TX 75019 (469) 480-3578","b+t group holdings 1025 s. belt line road, suite 400, coppell, tx 75019 (469) 480-3578",cf5b1e31f6ffc9b141843dfe656b3ac5ca7e4a43,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912131034,issued,12/31/19,2019-12-31,5330 PALOMAR LN,Dallas,TX,INSTALL 8 FT CEDAR FENCE,"SOUTHWEST FENCE DECK, INC. 4823 DOZIER RD, CARROLLTON, TX 75010 (972) 492-1370","southwest fence deck,. 4823 dozier rd, carrollton, tx 75010 (972) 492-1370",bc141d8504653e4fd1576208a3443c4d8acaa0b0,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912301005,issued,12/31/19,2019-12-31,8906 WESTGLEN DR,Dallas,TX,INSTALL ROOF MOUNTED SOLAR PANELS,"INFINITY ENERGY INC 2363 MERRITT DR, STE 200, GARLAND, TX 75041 (916) 678-4732","infinity energy 2363 merritt dr, ste 200, garland, tx 75041 (916) 678-4732",d12a19584ab5e80451cf8ab2874f177293fdd029,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912241001,issued,12/31/19,2019-12-31,406 KONAWA DR,Dallas,TX,INSTALL ROOF MOUNTED SOLAR PANELS,"INFINITY ENERGY INC 2363 MERRITT DR, STE 200, GARLAND, TX 75041 (916) 678-4732","infinity energy 2363 merritt dr, ste 200, garland, tx 75041 (916) 678-4732",3f718c2f41c3dd4e8ea08f86920be482fca1d59d,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912316008,issued,12/31/19,2019-12-31,4728 ASHBROOK RD,Dallas,TX,FOUNDATION REPAIR,"M A FOUNDATION REPAIR 102 N SHILOH RD # 110, GARLAND, TX 75042 (214) 470-5820","m a foundation repair 102 n shiloh rd # 110, garland, tx 75042 (214) 470-5820",e1db1221a85d087f391d3127858d4153d9bd6479,2,issued_or_awarded_status,False
