email,email_verification_status,email_is_catchall,email_quality_score,email_verification_provider
bids@austincommercial.com,catchall,True,risky,millionverifier
estimating@keiserelectric.com,catchall,True,risky,millionverifier
projects@keiserelectric.com,catchall,True,risky,millionverifier
project@keiserelectric.com,catchall,True,risky,millionverifier
operations@keiserelectric.com,catchall,True,risky,millionverifier
dispatch@keiserelectric.com,catchall,True,risky,millionverifier
safety@keiserelectric.com,catchall,True,risky,millionverifier
info@keiserelectric.com,catchall,True,risky,millionverifier
bids@keiserelectric.com,catchall,True,risky,millionverifier
estimating@fclbuilders.com,catchall,True,risky,millionverifier
projects@fclbuilders.com,catchall,True,risky,millionverifier
project@fclbuilders.com,catchall,True,risky,millionverifier
operations@fclbuilders.com,catchall,True,risky,millionverifier
dispatch@fclbuilders.com,catchall,True,risky,millionverifier
safety@fclbuilders.com,catchall,True,risky,millionverifier
info@fclbuilders.com,catchall,True,risky,millionverifier
bids@fclbuilders.com,catchall,True,risky,millionverifier
estimating@islelectric.com,invalid,False,bad,millionverifier
projects@islelectric.com,invalid,False,bad,millionverifier
project@islelectric.com,invalid,False,bad,millionverifier
operations@islelectric.com,invalid,False,bad,millionverifier
dispatch@islelectric.com,invalid,False,bad,millionverifier
safety@islelectric.com,invalid,False,bad,millionverifier
info@islelectric.com,invalid,False,bad,millionverifier
bids@islelectric.com,invalid,False,bad,millionverifier
estimating@huntcompanies.com,catchall,True,risky,millionverifier
projects@huntcompanies.com,catchall,True,risky,millionverifier
project@huntcompanies.com,catchall,True,risky,millionverifier
operations@huntcompanies.com,catchall,True,risky,millionverifier
dispatch@huntcompanies.com,catchall,True,risky,millionverifier
safety@huntcompanies.com,catchall,True,risky,millionverifier
info@huntcompanies.com,catchall,True,risky,millionverifier
bids@huntcompanies.com,catchall,True,risky,millionverifier
estimating@ujamaaconstruction.com,valid,False,good,millionverifier
projects@ujamaaconstruction.com,invalid,False,bad,millionverifier
project@ujamaaconstruction.com,invalid,False,bad,millionverifier
operations@ujamaaconstruction.com,invalid,False,bad,millionverifier
dispatch@ujamaaconstruction.com,invalid,False,bad,millionverifier
safety@ujamaaconstruction.com,invalid,False,bad,millionverifier
info@ujamaaconstruction.com,valid,False,good,millionverifier
bids@ujamaaconstruction.com,invalid,False,bad,millionverifier
estimating@powerconstruction.net,unknown,False,risky,millionverifier
projects@powerconstruction.net,unknown,False,risky,millionverifier
project@powerconstruction.net,unknown,False,risky,millionverifier
operations@powerconstruction.net,unknown,False,risky,millionverifier
dispatch@powerconstruction.net,unknown,False,risky,millionverifier
safety@powerconstruction.net,unknown,False,risky,millionverifier
info@powerconstruction.net,valid,False,good,millionverifier
bids@powerconstruction.net,unknown,False,risky,millionverifier
estimating@clarkconstruction.com,catchall,True,risky,millionverifier
projects@clarkconstruction.com,catchall,True,risky,millionverifier
project@clarkconstruction.com,catchall,True,risky,millionverifier
operations@clarkconstruction.com,catchall,True,risky,millionverifier
dispatch@clarkconstruction.com,catchall,True,risky,millionverifier
safety@clarkconstruction.com,catchall,True,risky,millionverifier
info@clarkconstruction.com,catchall,True,risky,millionverifier
bids@clarkconstruction.com,catchall,True,risky,millionverifier
estimating@brandtsbuild.com,invalid,False,bad,millionverifier
projects@brandtsbuild.com,invalid,False,bad,millionverifier
project@brandtsbuild.com,invalid,False,bad,millionverifier
operations@brandtsbuild.com,invalid,False,bad,millionverifier
dispatch@brandtsbuild.com,invalid,False,bad,millionverifier
safety@brandtsbuild.com,invalid,False,bad,millionverifier
info@brandtsbuild.com,invalid,False,bad,millionverifier
bids@brandtsbuild.com,invalid,False,bad,millionverifier
estimating@focusconstructionllc.com,catchall,True,risky,millionverifier
projects@focusconstructionllc.com,catchall,True,risky,millionverifier
project@focusconstructionllc.com,catchall,True,risky,millionverifier
operations@focusconstructionllc.com,catchall,True,risky,millionverifier
dispatch@focusconstructionllc.com,catchall,True,risky,millionverifier
safety@focusconstructionllc.com,catchall,True,risky,millionverifier
info@focusconstructionllc.com,catchall,True,risky,millionverifier
bids@focusconstructionllc.com,catchall,True,risky,millionverifier
